line_no,raw,type,start,end,length_mm,estimated_time_sec,warnings,feedrate,feed_mode,spindle_speed,feed_unit,effective_feed_mm_min,feed_capped,plane,direction,tool_id,event,reference_code,reference_axes,phase2_entry_velocity_mm_s,phase2_exit_velocity_mm_s,phase2_peak_velocity_mm_s,phase2_v_cap_mm_s,phase2_a_cap_mm_s2,phase2_j_cap_mm_s3,phase2_profile_type,phase2_slowdown_ratio,phase2_bottleneck_reason,phase2_segment_count
21,Z194.168 I-7.000 J0.000,arc,"7, 54, 195.639","7, 54, 194.168",44.006889274447865,0.8712737596165832,,7000.0,G94,10000.0,mm_per_min,7000.0,False,G17,G02,,,,,50.32716743305844,50.32716743305844,50.5961292967928,116.66666666666667,800.0,10000.0,degraded_s_curve_no_cruise,2.3119868344960444,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,42
22,Z192.697 I-7.000 J0.000,arc,"7, 54, 194.168","7, 54, 192.697",44.006889274447865,0.8712737650166453,,7000.0,G94,10000.0,mm_per_min,7000.0,False,G17,G02,,,,,50.32716743305844,50.327141021700555,50.5961292967928,116.66666666666667,800.0,10000.0,degraded_s_curve_no_cruise,2.3119874363327346,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,42
23,Z191.227 I-7.000 J0.000,arc,"7, 54, 192.697","7, 54, 191.227",44.0068558592126,0.8712739705635836,,7000.0,G94,10000.0,mm_per_min,7000.0,False,G17,G02,,,,,50.327141021700555,50.327141021700555,50.5960904649447,116.66666666666667,800.0,10000.0,degraded_s_curve_no_cruise,2.3119891800338435,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,42
24,Z189.756 I-7.000 J0.000,arc,"7, 54, 191.227","7, 54, 189.756",44.006889274447865,0.8712737650166456,,7000.0,G94,10000.0,mm_per_min,7000.0,False,G17,G02,,,,,50.327141021700555,50.32716743305844,50.5961292967928,116.66666666666667,800.0,10000.0,degraded_s_curve_no_cruise,2.31198743633275,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,42
25,Z188.285 I-7.000 J0.000,arc,"7, 54, 189.756","7, 54, 188.285",44.006889274447865,0.8712737596165832,,7000.0,G94,10000.0,mm_per_min,7000.0,False,G17,G02,,,,,50.32716743305844,50.32716743305844,50.5961292967928,116.66666666666667,800.0,10000.0,degraded_s_curve_no_cruise,2.3119868344960444,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,42
26,Z186.814 I-7.000 J0.000,arc,"7, 54, 188.285","7, 54, 186.814",44.006889274447865,0.8712737650166453,,7000.0,G94,10000.0,mm_per_min,7000.0,False,G17,G02,,,,,50.32716743305844,50.327141021700555,50.5961292967928,116.66666666666667,800.0,10000.0,degraded_s_curve_no_cruise,2.3119874363327346,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,42
27,Z185.344 I-7.000 J0.000,arc,"7, 54, 186.814","7, 54, 185.344",44.0068558592126,0.8712739705635836,,7000.0,G94,10000.0,mm_per_min,7000.0,False,G17,G02,,,,,50.327141021700555,50.327141021700555,50.5960904649447,116.66666666666667,800.0,10000.0,degraded_s_curve_no_cruise,2.3119891800338435,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,42
28,Z183.873 I-7.000 J0.000,arc,"7, 54, 185.344","7, 54, 183.873",44.006889274447865,0.8712737650166456,,7000.0,G94,10000.0,mm_per_min,7000.0,False,G17,G02,,,,,50.327141021700555,50.32716743305844,50.5961292967928,116.66666666666667,800.0,10000.0,degraded_s_curve_no_cruise,2.31198743633275,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,42
29,Z182.402 I-7.000 J0.000,arc,"7, 54, 183.873","7, 54, 182.402",44.006889274447865,0.8712737596165832,,7000.0,G94,10000.0,mm_per_min,7000.0,False,G17,G02,,,,,50.32716743305844,50.32716743305844,50.5961292967928,116.66666666666667,800.0,10000.0,degraded_s_curve_no_cruise,2.3119868344960444,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,42
30,Z180.931 I-7.000 J0.000,arc,"7, 54, 182.402","7, 54, 180.931",44.00688927444786,0.8712737650166448,,7000.0,G94,10000.0,mm_per_min,7000.0,False,G17,G02,,,,,50.32716743305844,50.327141021700555,50.5961292967928,116.66666666666667,800.0,10000.0,degraded_s_curve_no_cruise,2.3119874363327346,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,42
31,Z179.461 I-7.000 J0.000,arc,"7, 54, 180.931","7, 54, 179.461",44.0068558592126,0.8712739705635836,,7000.0,G94,10000.0,mm_per_min,7000.0,False,G17,G02,,,,,50.327141021700555,50.327141021700555,50.5960904649447,116.66666666666667,800.0,10000.0,degraded_s_curve_no_cruise,2.3119891800338435,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,42
32,Z177.990 I-7.000 J0.000,arc,"7, 54, 179.461","7, 54, 177.99",44.006889274447865,0.8712737650166456,,7000.0,G94,10000.0,mm_per_min,7000.0,False,G17,G02,,,,,50.327141021700555,50.32716743305844,50.5961292967928,116.66666666666667,800.0,10000.0,degraded_s_curve_no_cruise,2.31198743633275,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,42
33,Z176.519 I-7.000 J0.000,arc,"7, 54, 177.99","7, 54, 176.519",44.006889274447865,0.871143914867255,,7000.0,G94,10000.0,mm_per_min,7000.0,False,G17,G02,,,,,50.32716743305844,51.11064504574542,51.12895458515929,116.66666666666667,800.0,10000.0,degraded_s_curve_no_cruise,2.3119868344960444,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,42
34,X-6.981 Y53.495 Z175.801 I-7.000 J0.000,arc,"7, 54, 176.519","-6.981, 53.495, 175.801",21.496485306050804,0.5960692060492756,,7000.0,G94,10000.0,mm_per_min,7000.0,False,G17,G02,,,,,51.11064504574542,0.06618375180733942,52.15711329089683,116.66666666666667,800.0,10000.0,degraded_s_curve_no_cruise,10.647380409753795,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,21
35,G03 X0.504 Y47.018 I6.981 J0.504 F10000,arc,"-6.981, 53.495, 175.801","0.504, 47.018, 175.801",10.994270112670334,0.3865093279512639,,10000.0,G94,10000.0,mm_per_min,10000.0,False,G17,G03,,,,,0.06618375180733942,43.9306684722157,43.93066847221575,166.66666666666666,800.0,10000.0,degraded_s_curve_no_cruise,15.454364640840042,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,11
36,X6.981 Y54.504 I-0.504 J6.982,arc,"0.504, 47.018, 175.801","6.981, 54.504, 175.801",10.99512547565399,0.22144885873734926,,10000.0,G94,10000.0,mm_per_min,10000.0,False,G17,G03,,,,,43.9306684722157,53.51467322751304,53.73138501165205,166.66666666666666,800.0,10000.0,degraded_s_curve_no_cruise,3.740384135561844,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,11
37,X-0.504 Y60.981 I-6.981 J-0.504 F10000,arc,"6.981, 54.504, 175.801","-0.504, 60.981, 175.801",10.994270112670339,0.20678854354473375,,10000.0,G94,10000.0,mm_per_min,10000.0,False,G17,G03,,,,,53.51467322751304,50.4713438884294,53.73166900667645,166.66666666666666,800.0,10000.0,degraded_s_curve_no_cruise,3.2710829973045863,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,11
38,X-6.981 Y53.495 I0.504 J-6.981 F10000,arc,"-0.504, 60.981, 175.801","-6.981, 53.495, 175.801",10.9953241227442,0.252016731195187,,10000.0,G94,10000.0,mm_per_min,10000.0,False,G17,G03,,,,,50.4713438884294,35.90104619551698,50.471343888429416,166.66666666666666,800.0,10000.0,degraded_s_curve_no_cruise,4.526441981394803,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,11
